p,throughput_bps,avg_forwarding_delay_ms,efficiency,success_frames,success_bytes,time_slots
0.10,30000.000000,1342.708333,0.375000,48,72000,1920
0.20,26305.970149,1648.510638,0.328825,47,70500,2144
0.30,27298.050139,1464.489796,0.341226,49,73500,2154
0.40,30947.368421,1266.530612,0.386842,49,73500,1900
0.50,32684.824903,1234.693878,0.408560,49,73500,1799
0.60,26716.141002,886.458333,0.333952,48,72000,2156
0.70,45317.220544,779.600000,0.566465,50,75000,1324
0.80,29179.331307,812.291667,0.364742,48,72000,1974
0.90,42735.042735,954.400000,0.534188,50,75000,1404
1.00,31101.511879,1528.750000,0.388769,48,72000,1852
